a 呀
dekimono 疕
dekimono 瘺
dekinai 叵
dekinu 尀
deku 塐
deku 塑
dendenmushi 蝓
denjiso 蘋
deru 㞮
deru 凸
deru 出
deru 岀
desaagaranai 儱
deshiguramu 瓰
deshimeetoru 粉
deshiritto 竕
dobu 匽
dobuga 蚌
dobugai 蜯
dobugai 蠙
doburoku 醅
doburu 圯
dodai 坧
dodai 墌
dojou 鯲
dojou 鰌
dojou 鰍
dojou 鱃
dokudami 蕺
domo 共
domoru 吃
domoru 吶
domoru 呐
domoru 咹
domoru 唫
domoru 訥
domoru 謇
donaru 嚷
donburi 丼
donguri 杼
dono 殿
donsu 緞
dora 錚
dora 鐃
dora 鑼
doro 坭
doro 塗
doro 泥
doro 浧
doro 淤
doro 淦
doro 溏
doro 澱
doroashige 駰
doru 弗
doru 淖
dou 胴
dougamae 冋
e 兄
e 図
e 圗
e 柄
e 柯
e 橿
e 江
e 籚
e 絵
e 荏
e 重
e 餌
ebi 蛯
ebi 蝦
ebi 螧
ebi 魵
ebi 鰕
ebira 箙
ebira 籣
ebira 韊
ebira 韛
ebisu 夷
ebisu 峝
ebisu 戎
ebisu 狄
ebisu 羌
ebisu 羗
ebisu 胡
ebisu 蛮
ebisu 蠻
ebisu 貊
eburi 朳
eburi 杁
eda 支
eda 朵
eda 朶
eda 杈
eda 条
eda 枝
eda 梎
eda 條
edachi 傜
edachi 役
edachi 徭
edamichi 岐
egaaku 圗
egaku 描
egaku 繪
eguru 刔
eguru 刲
eguru 刳
eguru 剔
eguru 剜
eguru 抉
ei 鰩
ei 鱏
eibiro 噚
ekubo 靨
emu 笑
ena 胞
ena 褜
enagamae 冋
endou 苕
engumi 婚
enju 槐
enogo 痤
enoki 榎
era 腮
era 顋
era 鰓
erabu 択
erabu 拴
erabu 掄
erabu 掏
erabu 揀
erabu 撨
erabu 撰
erabu 擇
erabu 攞
erabu 柬
erabu 簡
erabu 選
erai 偉
eri 滬
eri 衽
eri 衿
eri 襟
eri 襮
eri 領
eri 魞
eriate 帬
eriate 帴
eru 刓
eru 得
eru 攼
eru 獲
eru 鏉
eru 鐫
esa 餌
eshaku 揖
eso 鱛
etsu 鮆
eyami 疫
eyami 瘟
eyami 癘
eyumi 弴
fiito 呎
fubito 史
fuchi 俸
fuchi 档
fuchi 沂
fuchi 淵
fuchi 渊
fuchi 渕
fuchi 潭
fuchi 潯
fuchi 祿
fuchi 禄
fuchi 秩
fuchi 緣
fuchi 縁
fuchidoru 衻
fuchikazari 紕
fuda 札
fuda 楪
fuda 槧
fuda 版
fuda 牋
fuda 牌
fuda 牒
fuda 牘
fuda 票
fuda 箋
fuda 簡
fude 筆
fude 翰
fude 聿
fue 笙
fue 笛
fue 管
fue 簘
fue 簫
fue 籟
fue 籥
fue 龠
fueru 増
fueru 增
fueru 殖
fugo 杞
fugo 畚
fugu 魨
fugu 鮐
fugu 鮭
fugu 鯸
fugu 鯺
fugu 鰒
fuigau 韛
fuigo 鞴
fuji 藤
fujibaka 蘭
fujibakama 蕳
fujikazura 蘽
fujimame 藊
fujimodo 芫
fuka 鮝
fuka 鯗
fuka 鱶
fukai 泓
fukai 洞
fukai 浤
fukai 深
fukai 潭
fukai 濬
fukaidoro 湗
fukameru 深
fukasa 深
fukeru 更
